Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","3196","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilité intérieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilité intérieure","2516","Avoine","2017","2017","Milliers de tonnes","17","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilité intérieure","2517","Millet et produits","2017","2017","Milliers de tonnes","23","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilité intérieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","149","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilité intérieure","2520","Céréales, Autres","2017","2017","Milliers de tonnes","55","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","5548","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","755","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","805","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","23704","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilité intérieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","79","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilité intérieure","2516","Avoine","2017","2017","Milliers de tonnes","783","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilité intérieure","2517","Millet et produits","2017","2017","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilité intérieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","2062","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilité intérieure","2520","Céréales, Autres","2017","2017","Milliers de tonnes","48","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","547","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","10","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","107","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","59","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5301","Disponibilité intérieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","1","S","Données standardisées"
